title,rating,number_of_reviews,category,address,website,phone,img_link,link
Rupali Online,4.4,20,Clothing store,"Unit 17 E Park Rd, Leicester LE5 4QA, United Kingdom",rupalionline.com,+44 116 246 4111,https://lh5.googleusercontent.com/p/AF1QipOrAJ3E-vYofEj7_Gfg6MF0Ks_vC80gOczEo6l0=w408-h408-k-no,https://www.google.com/maps/place/Rupali+Online/data=!4m7!3m6!1s0x48776168d0a050d7:0xb461430521e3c611!8m2!3d52.6379141!4d-1.1007985!16s%2Fg%2F1td7h78l!19sChIJ11Cg0Ghhd0gREcbjIQVDYbQ?authuser=0&hl=en&rclk=1
KingsLuxeItalia,4.9,17,Clothing store,"38B Belvoir St, Leicester LE1 6QJ, United Kingdom",kingsluxe.com,+44 7448 539224,https://lh5.googleusercontent.com/p/AF1QipPIBIGePreRLH6Lci1QBcO5fWyahVrW1NR6zTPV=w408-h544-k-no,https://www.google.com/maps/place/KingsLuxeItalia/data=!4m7!3m6!1s0x82f8c1c99d818b2b:0x182a6dad528f3ddc!8m2!3d52.6325879!4d-1.1317018!16s%2Fg%2F11rq6x4z67!19sChIJK4uBncnB-IIR3D2PUq1tKhg?authuser=0&hl=en&rclk=1
Indikal,2.4,27,Clothing store,"160 Belgrave Rd, Leicester LE4 5AU, United Kingdom",indikal.co.uk,+44 116 261 0520,https://lh5.googleusercontent.com/p/AF1QipOF2gCxQ939_aSwkYWU5ZRhLzgMukpWzvfNMdyt=w408-h432-k-no,https://www.google.com/maps/place/Indikal/data=!4m7!3m6!1s0x48776108c7e8bd03:0x2716e6e059d5e02a!8m2!3d52.6495884!4d-1.122943!16s%2Fg%2F1tfmh9s9!19sChIJA73oxwhhd0gRKuDVWeDmFic?authuser=0&hl=en&rclk=1
Flannels,3.6,317,Clothing store,"Unit 12, Fosse Park West, Leicester LE19 1HZ, United Kingdom",flannels.com,+44 343 909 2711,https://lh5.googleusercontent.com/p/AF1QipMRuINgKc0Zui-5--_AmfOrECnyGQTLnvfW6zHk=w408-h306-k-no,https://www.google.com/maps/place/Flannels/data=!4m7!3m6!1s0x4877672125ddcb8f:0x18759f386cdace82!8m2!3d52.634615!4d-1.130867!16s%2Fg%2F11p9nyxsdw!19sChIJj8vdJSFnd0gRgs7abDifdRg?authuser=0&hl=en&rclk=1
Fusion Collection,4.3,3,Clothing store,"Residential Accomadation Tegbaha, 124 E Park Rd, Leicester LE5 4QB, United Kingdom",,+44 116 276 7444,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E5__WGbJdstDei_kj8EjiQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=165.0047&pitch=0&thumbfov=100,https://www.google.com/maps/place/Fusion+Collection/data=!4m7!3m6!1s0x48776169ab8bad1f:0xad30bde7f8a04dbf!8m2!3d52.635936!4d-1.1023306!16s%2Fg%2F1hc1n6xg6!19sChIJH62Lq2lhd0gRv02g-Oe9MK0?authuser=0&hl=en&rclk=1
Stylex,3.1,17,Clothing store,"77 Belgrave Rd, Leicester LE4 6AS, United Kingdom",stores.ebay.co.uk,+44 116 261 0399,https://lh5.googleusercontent.com/p/AF1QipOepadkGF5KKh07PoP12f5ym4M7fTdRNskLYIT8=w408-h407-k-no,https://www.google.com/maps/place/Stylex/data=!4m7!3m6!1s0x4877610f4a1860b9:0x97a8e69388dcd086!8m2!3d52.649026!4d-1.122812!16s%2Fg%2F1v4k6079!19sChIJuWAYSg9hd0gRhtDciJPmqJc?authuser=0&hl=en&rclk=1
F&F Clothing,4.0,2,Clothing store,"2 Maidenwell Ave, Hamilton, Leicester LE5 1BJ, United Kingdom",tesco.com,+44 345 266 6579,https://lh5.googleusercontent.com/p/AF1QipNWV8iWP3LPDBFckoM3MHmd0aJZ2QQ21-BMTIKT=w408-h544-k-no,https://www.google.com/maps/place/F%26F+Clothing/data=!4m7!3m6!1s0x487763ccf4f8b2bf:0xbeffc49799f532c9!8m2!3d52.6527083!4d-1.0699383!16s%2Fg%2F11cnc44mq9!19sChIJv7L49Mxjd0gRyTL1mZfE_74?authuser=0&hl=en&rclk=1
Anokhi House Of Sarees,4.3,61,Fashion designer,"99-101 Belgrave Rd, Leicester LE4 6AS, United Kingdom",anokhisarees.co.uk,+44 116 266 6622,https://lh5.googleusercontent.com/p/AF1QipOwA4NE6hp5-7SWRwdx3AptDNHZuVGF-Sua44uj=w426-h240-k-no,https://www.google.com/maps/place/Anokhi+House+Of+Sarees/data=!4m7!3m6!1s0x48776108cbf70179:0xa6dfe231a71d0d85!8m2!3d52.6496467!4d-1.1223393!16s%2Fg%2F1tgb6v_v!19sChIJeQH3ywhhd0gRhQ0dpzHi36Y?authuser=0&hl=en&rclk=1
Zamiah leicester,4.3,15,Clothing store,"258 Humberstone Rd, Leicester LE5 0EG, United Kingdom",,+44 116 262 1605,https://lh5.googleusercontent.com/p/AF1QipMG4M25NtU4EqElcSTR-UkkOkmjs_CkIR9dTOt9=w408-h725-k-no,https://www.google.com/maps/place/Zamiah+leicester/data=!4m7!3m6!1s0x487761065bbcad8b:0x5dd792aa6227c25f!8m2!3d52.6412446!4d-1.1113061!16s%2Fg%2F11b75hrrlm!19sChIJi628WwZhd0gRX8InYqqS110?authuser=0&hl=en&rclk=1
Ashshifa,4.6,29,Clothing store,"263 St Saviours Rd, Leicester LE5 4HG, United Kingdom",ashshifa.co.uk,+44 116 273 3753,https://lh5.googleusercontent.com/p/AF1QipNdZYiB4G7gBOIANCO-wximnfnxJ6KfUIRoHdbf=w408-h906-k-no,https://www.google.com/maps/place/Ashshifa/data=!4m7!3m6!1s0x487761682f894133:0xcf3ae396ac7a65ae!8m2!3d52.6345921!4d-1.102176!16s%2Fg%2F11bzzzsds7!19sChIJM0GJL2hhd0gRrmV6rJbjOs8?authuser=0&hl=en&rclk=1
Divine Boutique,4.6,42,Dress store,"44 Silver St, Leicester LE1 5ET, United Kingdom",divine-boutique.co.uk,+44 116 251 6924,https://lh5.googleusercontent.com/p/AF1QipOcRkz3EByjxeoaCX3PXbt4mjoFUPMahoumM-Cu=w408-h271-k-no,https://www.google.com/maps/place/Divine+Boutique/data=!4m7!3m6!1s0x4877611fb178f227:0xe079f77917750810!8m2!3d52.6351345!4d-1.135928!16s%2Fg%2F1pxq98pfz!19sChIJJ_J4sR9hd0gREAh1F3n3eeA?authuser=0&hl=en&rclk=1
Parul Wholesalers & Retailers,4.7,30,Clothing store,"98A Belgrave Rd, Leicester LE4 5AT, United Kingdom",,+44 116 319 2868,https://lh5.googleusercontent.com/p/AF1QipOKfIEMF-5eFxRVjYJDhJduzmjY4N21KgetgI-U=w427-h240-k-no,https://www.google.com/maps/place/Parul+Wholesalers+%26+Retailers/data=!4m7!3m6!1s0x4877610f5e6be975:0x67719f4948c7f53b!8m2!3d52.6480015!4d-1.124109!16s%2Fg%2F11c1ny7y19!19sChIJdelrXg9hd0gRO_XHSEmfcWc?authuser=0&hl=en&rclk=1
Suit Yourself,4.5,78,Men's clothing store,"24 Belvoir St, Leicester LE1 6QH, United Kingdom",suityourself.co.uk,+44 116 255 3772,https://lh5.googleusercontent.com/p/AF1QipNcT1PVT9m1aaDb-AG8Uif9UGtBkN7NZ6rqYMfK=w408-h544-k-no,https://www.google.com/maps/place/Suit+Yourself/data=!4m7!3m6!1s0x48776121e370a1c1:0x179adb332b6cdc80!8m2!3d52.6329188!4d-1.1309096!16s%2Fg%2F1vf9bw8v!19sChIJwaFw4yFhd0gRgNxsKzPbmhc?authuser=0&hl=en&rclk=1
Moss Bros Leicester,3.7,154,Men's clothing store,"73-75 High St, Leicester LE1 4FR, United Kingdom",moss.co.uk,+44 116 253 6013,https://lh5.googleusercontent.com/p/AF1QipMvpJ2h3LsSmOFYQ4HAFjVrH4WJRkSmIh0OOmsC=w408-h303-k-no,https://www.google.com/maps/place/Moss+Bros+Leicester/data=!4m7!3m6!1s0x487760e04bb8069f:0x5a580743b75d0ba1!8m2!3d52.6357502!4d-1.1363222!16s%2Fg%2F1tl8k6jx!19sChIJnwa4S-Bgd0gRoQtdt0MHWFo?authuser=0&hl=en&rclk=1
Accessorize,3.8,32,Fashion accessories store,"31A Shires Ln, Highcross, Leicester LE1 4FP, United Kingdom",stores-uk.accessorize.com,+44 116 262 3139,https://lh5.googleusercontent.com/p/AF1QipNPd4rn4EZQJxTpDVDA9te8DQLNjh-PC2mrQPe2=w408-h306-k-no,https://www.google.com/maps/place/Accessorize/data=!4m7!3m6!1s0x48776759672a9201:0x168ad13633260b4c!8m2!3d52.6362111!4d-1.1367037!16s%2Fg%2F1tk6pv74!19sChIJAZIqZ1lnd0gRTAsmMzbRihY?authuser=0&hl=en&rclk=1
Scotney's of London Road,4.9,51,Men's clothing store,"132 London Rd, Leicester LE2 1EB, United Kingdom",scotneysoflondonroad.com,+44 116 255 1222,https://lh5.googleusercontent.com/p/AF1QipOvYrbMHggwEVbtHaDcyP0J02PqPWLLGNN_KYv7=w408-h544-k-no,https://www.google.com/maps/place/Scotney%27s+of+London+Road/data=!4m7!3m6!1s0x4877613b84605923:0xff303b2161c5625e!8m2!3d52.6275003!4d-1.1198152!16s%2Fg%2F1hcb48z12!19sChIJI1lghDthd0gRXmLFYSE7MP8?authuser=0&hl=en&rclk=1
Blacks,4.1,143,Outdoor clothing and equipment shop,"46 High St, Leicester LE1 5YN, United Kingdom",blacks.co.uk,+44 116 216 9586,https://lh5.googleusercontent.com/p/AF1QipMz2dAq_H4rnopfoP7awZkmi-AMUPrHhXhMXiPo=w408-h543-k-no,https://www.google.com/maps/place/Blacks/data=!4m7!3m6!1s0x4877611f51a5c35d:0x554b6acf3cb4b55f!8m2!3d52.635538!4d-1.135933!16s%2Fg%2F1thz151s!19sChIJXcOlUR9hd0gRX7W0PM9qS1U?authuser=0&hl=en&rclk=1
ZARA,3.8,874,Clothing store,"5 Shires Ln, Leicester LE1 4AN, United Kingdom",zara.com,+44 800 368 4990,https://lh5.googleusercontent.com/p/AF1QipNSfEsthhK8g79PW6r3enPAnYFKRqPVbWhob7fH=w408-h306-k-no,https://www.google.com/maps/place/ZARA/data=!4m7!3m6!1s0x487760e1cd509b1f:0x633d66c0dac1fd6c!8m2!3d52.635914!4d-1.1371111!16s%2Fg%2F1tplptxc!19sChIJH5tQzeFgd0gRbP3B2sBmPWM?authuser=0&hl=en&rclk=1
Hayah Al-Muslimah | Abayas,4.3,36,Clothing store,"31 Wood Hill, Leicester LE5 3SP, United Kingdom",hayahalmuslimah.com,+44 7549 906992,https://lh5.googleusercontent.com/p/AF1QipNJ-H-mCrqyiH-f_9w8PpPWOP4UhoGoCtA2Y-bC=w408-h306-k-no,https://www.google.com/maps/place/Hayah+Al-Muslimah+%7C+Abayas/data=!4m7!3m6!1s0x4877616ccd5076fd:0x9a72f51e0a8e6515!8m2!3d52.6377205!4d-1.1054949!16s%2Fg%2F11gjw6by88!19sChIJ_XZQzWxhd0gRFWWOCh71cpo?authuser=0&hl=en&rclk=1
The Knitwear Store LTD,5.0,1,Clothing store,"39 Spalding St, Leicester LE5 4PH, United Kingdom",,+44 7724 797489,https://lh5.googleusercontent.com/p/AF1QipMnMBbRLQN-8lCagoR2RCBToFax_7TSx5Qu1kBO=w466-h240-k-no,https://www.google.com/maps/place/The+Knitwear+Store+LTD/data=!4m7!3m6!1s0x487761b6b940a557:0xd67069138b8c7e6b!8m2!3d52.637989!4d-1.0965052!16s%2Fg%2F11gxnwjpn1!19sChIJV6VAubZhd0gRa36MixNpcNY?authuser=0&hl=en&rclk=1
Shenu Fashions,4.0,3,Baby clothing store,"3 Western Rd, Leicester LE3 0GD, United Kingdom",,+44 116 254 3440,https://lh5.googleusercontent.com/p/AF1QipOKceu3OSkBXglLNNq-n7nmbDgVyC6YMtFSkFnx=w408-h461-k-no,https://www.google.com/maps/place/Shenu+Fashions/data=!4m7!3m6!1s0x487760dcdca43cc5:0x66cfd487c26bd956!8m2!3d52.6301605!4d-1.1469585!16s%2Fg%2F1tngpsym!19sChIJxTyk3Nxgd0gRVtlrwofUz2Y?authuser=0&hl=en&rclk=1
Arinder Bhullar,4.3,53,Bridal shop,"95 Belgrave Rd, Leicester LE4 6AS, United Kingdom",arinderbhullar.com,+44 116 266 4713,https://lh5.googleusercontent.com/p/AF1QipO4DEi-iXgct6vRyKkbG-3_ixi02EZE3IwBfbU=w408-h306-k-no,https://www.google.com/maps/place/Arinder+Bhullar/data=!4m7!3m6!1s0x48776108cbf70179:0x4e346c73c227d9a3!8m2!3d52.6496453!4d-1.1224445!16s%2Fg%2F1tj210x_!19sChIJeQH3ywhhd0gRo9knwnNsNE4?authuser=0&hl=en&rclk=1
Abiti Ladieswear,4.6,8,Women's clothing store,"35 Francis St, Stoneygate, Leicester LE2 2BE, United Kingdom",abiti-ladies.co.uk,+44 116 270 4379,https://lh5.googleusercontent.com/p/AF1QipNOZGQV318psxUXWLiFMGXH0NC2cE6tKIItk4Xq=w408-h306-k-no,https://www.google.com/maps/place/Abiti+Ladieswear/data=!4m7!3m6!1s0x4877614c3249b3bd:0x714b308dbe007681!8m2!3d52.6168959!4d-1.1012636!16s%2Fg%2F12jsh0x4d!19sChIJvbNJMkxhd0gRgXYAvo0wS3E?authuser=0&hl=en&rclk=1
Customised Clothing,5.0,7,Custom t-shirt store,"53 Bedford St S, Leicester LE1 3JR, United Kingdom",customisedclothing.com,+44 116 467 0260,https://lh5.googleusercontent.com/p/AF1QipOTVi4RP74GZu9ta2MVqiW940wOGG5HX2eI8eW4=w408-h612-k-no,https://www.google.com/maps/place/Customised+Clothing/data=!4m7!3m6!1s0x487761b6fdb17633:0xf3ca5f9adc22cfb5!8m2!3d52.6396682!4d-1.129504!16s%2Fg%2F11j5f5d7wc!19sChIJM3ax_bZhd0gRtc8i3JpfyvM?authuser=0&hl=en&rclk=1
